Id,BillingCity,BillingCountry,BillingState,Industry,Name,Phone
001T700001j21AUIAY,New York,US,NY,Technology,MDD_Q4lP0X7Y_Acct_001,555-0001
001T700001j21AVIAY,Chicago,US,IL,Technology,MDD_Q4lP0X7Y_Acct_002,555-0002
001T700001j21AWIAY,Austin,US,TX,Technology,MDD_Q4lP0X7Y_Acct_003,555-0003
001T700001j21AXIAY,Seattle,US,WA,Technology,MDD_Q4lP0X7Y_Acct_004,555-0004
001T700001j21AYIAY,San Francisco,US,CA,Technology,MDD_Q4lP0X7Y_Acct_005,555-0005
001T700001j21AZIAY,New York,US,NY,Technology,MDD_Q4lP0X7Y_Acct_006,555-0006
001T700001j21AaIAI,Chicago,US,IL,Technology,MDD_Q4lP0X7Y_Acct_007,555-0007
001T700001j21AbIAI,Austin,US,TX,Technology,MDD_Q4lP0X7Y_Acct_008,555-0008
001T700001j21AcIAI,Seattle,US,WA,Technology,MDD_Q4lP0X7Y_Acct_009,555-0009
001T700001j21AdIAI,San Francisco,US,CA,Technology,MDD_Q4lP0X7Y_Acct_010,555-0010
001T700001j21GvIAI,New York,US,NY,Technology,MDD_oaK9TrUS_Acct_001,555-0001
001T700001j21GwIAI,Chicago,US,IL,Technology,MDD_oaK9TrUS_Acct_002,555-0002
001T700001j21GxIAI,Austin,US,TX,Technology,MDD_oaK9TrUS_Acct_003,555-0003
001T700001j21GyIAI,Seattle,US,WA,Technology,MDD_oaK9TrUS_Acct_004,555-0004
001T700001j21GzIAI,San Francisco,US,CA,Technology,MDD_oaK9TrUS_Acct_005,555-0005
001T700001j21H0IAI,New York,US,NY,Technology,MDD_oaK9TrUS_Acct_006,555-0006
001T700001j21H1IAI,Chicago,US,IL,Technology,MDD_oaK9TrUS_Acct_007,555-0007
001T700001j21H2IAI,Austin,US,TX,Technology,MDD_oaK9TrUS_Acct_008,555-0008
001T700001j21H3IAI,Seattle,US,WA,Technology,MDD_oaK9TrUS_Acct_009,555-0009
001T700001j21H4IAI,San Francisco,US,CA,Technology,MDD_oaK9TrUS_Acct_010,555-0010
001T700001j28OrIAI,New York,US,NY,Technology,MDD_gqVQvWEs_Acct_001,555-0001
001T700001j28OsIAI,Chicago,US,IL,Technology,MDD_gqVQvWEs_Acct_002,555-0002
001T700001j28OtIAI,Austin,US,TX,Technology,MDD_gqVQvWEs_Acct_003,555-0003
001T700001j28OuIAI,Seattle,US,WA,Technology,MDD_gqVQvWEs_Acct_004,555-0004
001T700001j28OvIAI,San Francisco,US,CA,Technology,MDD_gqVQvWEs_Acct_005,555-0005
001T700001j28OwIAI,New York,US,NY,Technology,MDD_gqVQvWEs_Acct_006,555-0006
001T700001j28OxIAI,Chicago,US,IL,Technology,MDD_gqVQvWEs_Acct_007,555-0007
001T700001j28OyIAI,Austin,US,TX,Technology,MDD_gqVQvWEs_Acct_008,555-0008
001T700001j28OzIAI,Seattle,US,WA,Technology,MDD_gqVQvWEs_Acct_009,555-0009
001T700001j28P0IAI,San Francisco,US,CA,Technology,MDD_gqVQvWEs_Acct_010,555-0010
001T700001j2P37IAE,New York,US,NY,Technology,MDD_sd4el1zj_Acct_001,555-0001
001T700001j2P38IAE,Chicago,US,IL,Technology,MDD_sd4el1zj_Acct_002,555-0002
001T700001j2P39IAE,Austin,US,TX,Technology,MDD_sd4el1zj_Acct_003,555-0003
001T700001j2P3AIAU,Seattle,US,WA,Technology,MDD_sd4el1zj_Acct_004,555-0004
001T700001j2P3BIAU,San Francisco,US,CA,Technology,MDD_sd4el1zj_Acct_005,555-0005
001T700001j2P3CIAU,New York,US,NY,Technology,MDD_sd4el1zj_Acct_006,555-0006
001T700001j2P3DIAU,Chicago,US,IL,Technology,MDD_sd4el1zj_Acct_007,555-0007
001T700001j2P3EIAU,Austin,US,TX,Technology,MDD_sd4el1zj_Acct_008,555-0008
001T700001j2P3FIAU,Seattle,US,WA,Technology,MDD_sd4el1zj_Acct_009,555-0009
001T700001j2P3GIAU,San Francisco,US,CA,Technology,MDD_sd4el1zj_Acct_010,555-0010
